timestamp,conso_serveur_kw,conso_securite_kw,conso_eclairage_kw,conso_climatisation_kw,conso_imprimante_kw,conso_totale_kw,production_solaire_kw,heure,jour_semaine,lag_1h,lag_2h,lag_24h
2026-08-02 00:00:00,0.506,0.157,0.0,0.0,0.023,0.686,0.026,0,6,0.726,0.722,0.697
2026-08-02 00:15:00,0.505,0.162,0.0,0.166,0.013,0.845,0.0,0,6,0.675,0.715,0.66
2026-08-02 00:30:00,0.5,0.152,0.0,0.0,0.011,0.663,0.067,0,6,0.672,0.824,0.675
2026-08-02 00:45:00,0.495,0.137,0.0,0.0,0.014,0.646,0.0,0,6,0.822,0.761,0.83
2026-08-02 01:00:00,0.472,0.154,0.0,0.107,0.016,0.749,0.0,1,6,0.686,0.726,0.706
2026-08-02 01:15:00,0.492,0.143,0.004,0.127,0.02,0.785,0.03,1,6,0.845,0.675,0.658
2026-08-02 01:30:00,0.493,0.145,0.012,0.0,0.022,0.672,0.053,1,6,0.663,0.672,0.685
2026-08-02 01:45:00,0.484,0.156,0.0,0.0,0.0,0.64,0.149,1,6,0.646,0.822,0.701
2026-08-02 02:00:00,0.497,0.162,0.0,0.0,0.012,0.671,0.0,2,6,0.749,0.686,0.726
2026-08-02 02:15:00,0.508,0.15,0.0,0.034,0.016,0.708,0.148,2,6,0.785,0.845,0.763
2026-08-02 02:30:00,0.538,0.153,0.0,0.089,0.035,0.815,0.0,2,6,0.672,0.663,0.648
2026-08-02 02:45:00,0.503,0.167,0.0,0.001,0.009,0.681,0.133,2,6,0.64,0.646,0.699
2026-08-02 03:00:00,0.505,0.152,0.012,0.062,0.022,0.754,0.082,3,6,0.671,0.749,0.781
2026-08-02 03:15:00,0.499,0.176,0.0,0.165,0.035,0.874,0.0,3,6,0.708,0.785,0.643
2026-08-02 03:30:00,0.462,0.156,0.0,0.039,0.007,0.663,0.031,3,6,0.815,0.672,0.737
2026-08-02 03:45:00,0.499,0.132,0.013,0.033,0.024,0.701,0.0,3,6,0.681,0.64,0.975
2026-08-02 04:00:00,0.501,0.158,0.017,0.0,0.012,0.688,0.063,4,6,0.754,0.671,0.667
2026-08-02 04:15:00,0.549,0.154,0.078,0.0,0.015,0.796,0.0,4,6,0.874,0.708,0.761
2026-08-02 04:30:00,0.496,0.163,0.048,0.042,0.012,0.761,0.0,4,6,0.663,0.815,0.707
2026-08-02 04:45:00,0.506,0.157,0.045,0.0,0.013,0.72,0.137,4,6,0.701,0.681,0.716
2026-08-02 05:00:00,0.499,0.149,0.095,0.0,0.047,0.791,0.0,5,6,0.688,0.754,0.838
2026-08-02 05:15:00,0.477,0.138,0.102,0.031,0.028,0.776,0.083,5,6,0.796,0.874,0.839
2026-08-02 05:30:00,0.523,0.148,0.18,0.003,0.031,0.885,0.0,5,6,0.761,0.663,0.849
2026-08-02 05:45:00,0.515,0.141,0.21,0.124,0.025,1.015,0.167,5,6,0.72,0.701,0.927
2026-08-02 06:00:00,0.516,0.094,0.283,0.023,0.004,0.92,0.0,6,6,0.791,0.688,1.041
2026-08-02 06:15:00,0.482,0.106,0.28,0.0,0.024,0.891,0.174,6,6,0.776,0.796,0.934
2026-08-02 06:30:00,0.528,0.117,0.298,0.121,0.031,1.094,0.623,6,6,0.885,0.761,1.015
2026-08-02 06:45:00,0.472,0.104,0.278,0.005,0.011,0.871,0.658,6,6,1.015,0.72,0.886
2026-08-02 07:00:00,0.512,0.088,0.3,0.086,0.03,1.014,1.093,7,6,0.92,0.791,0.975
2026-08-02 07:15:00,0.544,0.104,0.22,0.0,0.027,0.895,1.247,7,6,0.891,0.776,0.89
2026-08-02 07:30:00,0.48,0.112,0.219,0.0,0.039,0.849,1.363,7,6,1.094,0.885,0.785
2026-08-02 07:45:00,0.489,0.094,0.154,0.065,0.016,0.818,1.412,7,6,0.871,1.015,0.881
2026-08-02 08:00:00,0.502,0.099,0.107,0.069,0.009,0.786,1.8,8,6,1.014,0.92,0.756
2026-08-02 08:15:00,0.49,0.1,0.072,0.128,0.016,0.806,2.012,8,6,0.895,0.891,0.68
2026-08-02 08:30:00,0.469,0.092,0.048,0.066,0.034,0.71,2.31,8,6,0.849,1.094,0.77
2026-08-02 08:45:00,0.501,0.106,0.0,0.0,0.002,0.61,2.535,8,6,0.818,0.871,0.819
2026-08-02 09:00:00,0.479,0.099,0.008,0.081,0.0,0.667,2.479,9,6,0.786,1.014,0.7
2026-08-02 09:15:00,0.509,0.104,0.024,0.222,0.021,0.88,2.789,9,6,0.806,0.895,0.836
2026-08-02 09:30:00,0.482,0.091,0.002,0.133,0.016,0.723,2.935,9,6,0.71,0.849,0.858
2026-08-02 09:45:00,0.531,0.096,0.0,0.159,0.02,0.805,3.103,9,6,0.61,0.818,0.749
2026-08-02 10:00:00,0.484,0.107,0.0,0.304,0.029,0.925,3.17,10,6,0.667,0.786,0.701
2026-08-02 10:15:00,0.494,0.096,0.034,0.158,0.014,0.796,3.037,10,6,0.88,0.806,0.858
2026-08-02 10:30:00,0.516,0.117,0.025,0.099,0.001,0.759,3.313,10,6,0.723,0.71,0.867
2026-08-02 10:45:00,0.475,0.096,0.0,0.262,0.04,0.874,3.296,10,6,0.805,0.61,0.972
2026-08-02 11:00:00,0.505,0.102,0.019,0.255,0.01,0.891,3.46,11,6,0.925,0.667,0.854
2026-08-02 11:15:00,0.526,0.109,0.0,0.232,0.009,0.877,3.632,11,6,0.796,0.88,0.714
2026-08-02 11:30:00,0.468,0.086,0.0,0.336,0.031,0.92,3.603,11,6,0.759,0.723,0.978
2026-08-02 11:45:00,0.504,0.082,0.0,0.427,0.016,1.029,3.71,11,6,0.874,0.805,0.984
2026-08-02 12:00:00,0.505,0.085,0.031,0.399,0.019,1.04,3.637,12,6,0.891,0.925,1.124
2026-08-02 12:15:00,0.516,0.113,0.0,0.452,0.025,1.106,3.466,12,6,0.877,0.796,0.945
2026-08-02 12:30:00,0.475,0.094,0.0,0.623,0.031,1.223,3.32,12,6,0.92,0.759,1.254
2026-08-02 12:45:00,0.474,0.126,0.0,0.424,0.017,1.04,3.549,12,6,1.029,0.874,0.896
2026-08-02 13:00:00,0.51,0.094,0.038,0.501,0.035,1.179,3.459,13,6,1.04,0.891,1.19
2026-08-02 13:15:00,0.506,0.102,0.033,0.434,0.0,1.074,3.314,13,6,1.106,0.877,1.083
2026-08-02 13:30:00,0.505,0.115,0.044,0.408,0.028,1.101,3.159,13,6,1.223,0.92,1.242
2026-08-02 13:45:00,0.507,0.12,0.0,0.44,0.012,1.078,3.158,13,6,1.04,1.029,1.158
2026-08-02 14:00:00,0.486,0.121,0.006,0.452,0.034,1.099,3.101,14,6,1.179,1.04,1.21
2026-08-02 14:15:00,0.505,0.112,0.0,0.534,0.021,1.172,3.063,14,6,1.074,1.106,1.062
2026-08-02 14:30:00,0.506,0.11,0.031,0.728,0.013,1.388,2.877,14,6,1.101,1.223,1.024
2026-08-02 14:45:00,0.486,0.106,0.0,0.413,0.027,1.031,2.87,14,6,1.078,1.04,1.261
2026-08-02 15:00:00,0.537,0.108,0.008,0.431,0.029,1.113,2.444,15,6,1.099,1.179,1.105
2026-08-02 15:15:00,0.509,0.094,0.0,0.452,0.026,1.082,2.464,15,6,1.172,1.074,1.085
2026-08-02 15:30:00,0.476,0.092,0.0,0.481,0.01,1.059,2.198,15,6,1.388,1.101,1.181
2026-08-02 15:45:00,0.513,0.1,0.0,0.448,0.015,1.076,2.071,15,6,1.031,1.078,0.975
2026-08-02 16:00:00,0.481,0.098,0.008,0.529,0.02,1.135,1.758,16,6,1.113,1.099,1.097
2026-08-02 16:15:00,0.516,0.095,0.018,0.135,0.02,0.783,1.701,16,6,1.082,1.172,1.004
2026-08-02 16:30:00,0.523,0.107,0.03,0.115,0.027,0.802,1.408,16,6,1.059,1.388,1.004
2026-08-02 16:45:00,0.484,0.11,0.073,0.279,0.0,0.945,1.09,16,6,1.076,1.031,1.014
2026-08-02 17:00:00,0.519,0.101,0.053,0.413,0.023,1.109,0.931,17,6,1.135,1.113,0.844
2026-08-02 17:15:00,0.508,0.115,0.102,0.121,0.017,0.863,0.679,17,6,0.783,1.082,0.911
2026-08-02 17:30:00,0.516,0.089,0.148,0.0,0.012,0.764,0.519,17,6,0.802,1.059,1.104
2026-08-02 17:45:00,0.538,0.098,0.142,0.286,0.013,1.076,0.118,17,6,0.945,1.076,1.128
2026-08-02 18:00:00,0.495,0.093,0.168,0.23,0.018,1.003,0.0,18,6,1.109,1.135,1.026
2026-08-02 18:15:00,0.485,0.081,0.207,0.074,0.0,0.848,0.04,18,6,0.863,0.783,1.064
2026-08-02 18:30:00,0.482,0.099,0.264,0.064,0.013,0.922,0.003,18,6,0.764,0.802,0.974
2026-08-02 18:45:00,0.484,0.099,0.269,0.046,0.011,0.908,0.135,18,6,1.076,0.945,1.186
2026-08-02 19:00:00,0.498,0.115,0.273,0.136,0.025,1.048,0.077,19,6,1.003,1.109,1.027
